age,partnered,children,income
35.0,1,1,56531.361287409796
58.0,1,2,93026.18252962205
49.0,1,0,42693.01081855278
44.0,1,0,83680.12821828337
26.0,0,1,28845.52083491793
26.0,1,1,24898.840889641353
22.0,1,2,67152.00808035953
55.0,1,2,35047.37350007968
44.0,1,5,17245.869658715623
48.0,1,1,75749.52917610604
21.0,1,2,57176.95020653576
59.0,1,4,88660.47640026422
53.0,0,1,67089.2603305893
28.0,0,2,60533.17250859258
27.0,1,1,66754.85906724838
27.0,0,4,22604.011121150746
32.0,0,5,25027.777684161872
41.0,1,2,55105.57622025578
37.0,0,1,46159.55048846367
32.0,1,3,29553.08262866683
44.0,0,2,49818.44397117907
26.0,0,5,20271.72986336773
32.0,1,5,52012.703157748154
35.0,1,5,54324.46069941322
38.0,1,1,11954.707973685334
51.0,1,0,55224.12362670664
28.0,0,1,31327.426718222887
41.0,0,2,39640.300834046524
44.0,1,1,70687.78617999388
22.0,1,0,57546.965806632856
44.0,1,2,93324.66645867792
27.0,1,2,56499.16962195895
23.0,1,1,43489.525835671186
58.0,1,0,46517.530549250354
59.0,0,3,24378.19768916286
52.0,1,3,77209.83619950409
32.0,1,1,77708.93628220935
24.0,1,0,83827.41993836366
47.0,1,0,53692.13842168574
38.0,0,4,27422.711291381456
25.0,0,1,36096.67372166225
40.0,1,3,98447.97842260476
21.0,1,4,43047.22936427791
56.0,1,1,105525.25709465942
30.0,1,1,58399.45805814616
47.0,1,0,93314.90372856912
32.0,1,0,79531.59693104157
41.0,1,0,69071.76265016303
42.0,1,3,38592.3350547569
27.0,1,2,44868.11124142099
59.0,0,2,84030.90347768957
51.0,1,1,88306.50336960227
58.0,1,2,64826.99346456306
56.0,1,2,65153.82722751201
44.0,0,0,13382.537924688651
57.0,1,1,104136.77583963622
24.0,1,3,63221.27120492306
28.0,1,4,43258.443579162944
22.0,1,3,48002.688383468456
33.0,1,0,16332.683437391795
36.0,1,0,52265.710079145014
31.0,1,0,84938.91281728272
53.0,1,1,91880.94753460163
34.0,1,2,62114.011141278635
31.0,1,2,52955.63482730127
42.0,0,5,49928.10859392653
26.0,1,1,46372.29786897827
52.0,1,3,33206.13607609984
23.0,1,4,42126.01720652255
59.0,1,2,82312.38654171154
51.0,1,3,88203.55369596042
28.0,1,2,22176.08479008003
20.0,1,1,45041.77386897089
53.0,1,4,63243.92690489753
48.0,1,1,46474.96190305776
49.0,1,3,74003.46549846587
51.0,1,1,85697.36063223603
23.0,1,1,43936.153839379134
34.0,0,3,74101.85217242944
25.0,1,0,47362.79984932684
55.0,1,1,64816.33058618666
45.0,1,1,56736.573040627954
33.0,0,0,23440.01853423023
23.0,0,1,18569.490135322863
32.0,1,2,25318.22261534952
33.0,1,0,55919.34352173415
49.0,0,3,45399.480060485934
46.0,1,4,13843.950199184044
55.0,1,4,64211.009750402874
39.0,1,1,62592.681634838584
25.0,1,1,61541.77981381079
49.0,0,0,75842.7014515165
50.0,0,0,69527.08529201019
42.0,1,4,44092.72554928896
51.0,1,2,53521.756554847074
40.0,1,1,74090.08803099708
41.0,1,1,52304.403273249576
37.0,0,3,10688.919617527517
21.0,0,4,68232.83486801194
24.0,1,4,36785.514707656126
